datetime,temp,humidity,wind_speed,aqi,pm2_5,pm10,no2,so2,co,o3
2026-02-24 00:00:00,16.5,75,6.9,5,107.32,266.37,3.48,0.75,496.33,50.25
2026-02-24 01:00:00,15.8,78,6.1,5,111.09,270.59,3.74,0.61,514.58,45.3
2026-02-24 02:00:00,15.5,79,3.6,5,116.26,275.21,4.12,0.58,546.07,41.06
2026-02-24 03:00:00,17.3,76,4.7,5,122.08,283.3,4.48,0.65,582.68,38.88
2026-02-24 04:00:00,20.2,66,3.2,5,124.01,295.68,3.63,1.01,586.82,47.19
2026-02-24 05:00:00,23.3,53,1.9,5,122.66,292.74,2.87,1.36,576.53,61.39
2026-02-24 06:00:00,26.5,44,0.8,5,121.88,295.25,2.18,1.77,555.81,82.61
2026-02-24 07:00:00,28.9,39,1.3,5,67.18,212.91,0.64,5.22,256.14,140.16
2026-02-24 08:00:00,30.4,27,3.7,4,50.27,155.87,0.38,3.66,201.81,139.18
2026-02-24 09:00:00,30.7,24,5.4,4,45.34,139.43,0.34,3.01,187.58,137.03
2026-02-24 10:00:00,30.5,25,5.6,4,44.56,136.2,0.38,3.03,186.77,138.31
2026-02-24 11:00:00,29.8,28,5.8,4,45.15,137.4,0.45,3.31,188.47,138.73
2026-02-24 12:00:00,27.8,38,7.0,4,46.46,141.6,0.56,3.66,193.08,139.16
2026-02-24 13:00:00,24.5,41,7.6,4,50.78,150.17,1.04,4.23,212.99,133.71
2026-02-24 14:00:00,22.9,39,7.0,4,57.66,161.13,1.71,5.05,249.21,124.92
2026-02-24 15:00:00,21.1,48,7.7,4,64.8,171.01,2.3,5.76,289.55,116.91
2026-02-24 16:00:00,20.6,50,8.2,4,68.62,173.44,2.6,5.6,315.2,106.01
2026-02-24 17:00:00,20.3,46,8.0,4,71.83,177.39,2.77,4.89,337.46,96.67
2026-02-24 18:00:00,19.7,48,6.8,4,74.51,182.73,2.8,4.11,353.52,88.92
2026-02-24 19:00:00,19.8,49,4.2,5,75.53,186.71,2.62,3.46,355.35,81.99
2026-02-24 20:00:00,19.0,52,4.0,5,76.75,191.45,2.46,3.03,353.49,76.28
2026-02-24 21:00:00,17.8,57,2.6,5,77.85,195.05,2.4,2.65,350.54,70.38
2026-02-24 22:00:00,17.0,60,2.4,5,78.99,197.64,2.44,2.38,348.85,64.5
2026-02-24 23:00:00,16.4,63,4.0,5,81.39,204.16,2.52,2.44,352.73,60.56
2026-02-25 00:00:00,17.4,60,1.5,5,84.58,211.85,2.61,2.7,358.41,58.29
2026-02-25 00:00:00,17.4,60,1.5,5,84.58,211.85,2.61,2.7,358.41,58.29
2026-02-25 01:00:00,16.5,64,2.0,5,88.06,217.81,2.69,3.06,367.9,56.53
2026-02-25 02:00:00,15.6,69,3.4,5,92.47,222.01,2.89,3.14,388.37,53.47
2026-02-25 03:00:00,17.5,69,3.7,5,96.77,222.46,3.16,2.76,411.39,49.66
2026-02-25 04:00:00,21.5,57,3.6,5,99.08,218.88,2.83,2.33,426.49,47.84
2026-02-25 05:00:00,24.9,48,3.1,5,100.72,222.81,2.34,2.71,435.9,53.45
2026-02-25 06:00:00,27.6,39,0.9,5,104.98,238.6,1.89,4.23,436.59,69.79
2026-02-25 07:00:00,29.7,34,2.3,4,60.7,184.61,0.77,10.87,226.11,138.92
2026-02-25 08:00:00,30.7,25,4.8,4,48.24,142.26,0.42,6.42,195.55,137.85
2026-02-25 09:00:00,31.1,24,5.9,4,44.95,131.26,0.38,5.28,187.62,136.05
2026-02-25 10:00:00,31.0,25,6.0,4,47.42,140.25,0.45,5.39,192.84,134.7
2026-02-25 11:00:00,30.5,30,4.3,4,52.35,159.0,0.57,5.77,202.1,130.43
2026-02-25 12:00:00,28.4,46,5.6,4,56.72,176.14,0.75,6.01,211.35,127.93
2026-02-25 13:00:00,25.6,44,5.2,4,60.85,190.22,1.21,6.26,227.48,125.86
2026-02-25 14:00:00,23.7,44,3.9,5,65.15,201.69,1.69,6.53,251.16,123.33
2026-02-25 15:00:00,22.6,46,3.4,5,69.01,212.37,2.02,6.64,274.53,120.85
2026-02-25 16:00:00,21.9,48,4.1,5,70.9,218.89,2.11,6.47,288.55,117.76
2026-02-25 17:00:00,21.8,49,1.1,5,73.31,229.91,2.06,6.41,299.73,117.14
2026-02-25 18:00:00,21.9,50,0.3,5,75.06,240.01,1.91,6.32,304.31,116.28
2026-02-25 19:00:00,21.4,49,0.2,5,75.18,244.43,1.67,5.62,297.43,109.65
2026-02-25 20:00:00,20.6,53,0.4,5,75.58,244.72,1.48,4.66,290.27,100.81
2026-02-25 21:00:00,19.3,55,0.9,5,74.93,236.39,1.36,3.64,282.32,90.74
2026-02-25 22:00:00,18.5,58,0.3,5,73.26,223.24,1.34,2.72,273.89,79.86
2026-02-25 23:00:00,17.9,61,0.4,5,73.62,222.72,1.42,2.25,272.51,72.32
2026-02-26 00:00:00,17.0,66,1.4,5,74.83,228.4,1.56,2.07,274.35,67.3
2026-02-26 00:00:00,17.0,66,1.4,5,74.83,228.4,1.56,2.07,274.35,67.3
2026-02-26 01:00:00,16.8,68,0.5,5,76.28,235.43,1.77,2.01,278.97,63.15
2026-02-26 02:00:00,15.2,74,5.7,5,78.62,244.02,2.02,1.8,292.11,57.91
2026-02-26 03:00:00,17.6,63,6.6,5,81.42,255.9,2.26,1.46,309.22,52.46
2026-02-26 04:00:00,21.2,54,4.5,5,82.51,265.24,2.01,1.23,318.09,48.92
2026-02-26 05:00:00,24.8,46,3.1,5,82.89,275.84,1.6,1.28,319.36,51.13
2026-02-26 06:00:00,28.0,36,3.9,5,85.49,293.2,1.29,1.55,320.53,60.89
2026-02-26 07:00:00,29.8,30,6.1,5,70.85,271.12,0.57,4.75,239.58,128.53
2026-02-26 08:00:00,30.8,27,9.5,5,61.69,217.62,0.54,4.16,227.58,133.3
2026-02-26 09:00:00,31.2,27,11.7,4,58.46,194.39,0.57,3.65,225.64,134.33
2026-02-26 10:00:00,31.2,28,12.0,4,45.34,139.57,0.52,3.33,194.71,133.19
2026-02-26 11:00:00,30.7,29,10.5,4,40.84,119.73,0.55,3.19,185.22,132.1
2026-02-26 12:00:00,28.8,46,5.7,4,39.89,115.54,0.63,3.11,183.6,131.01
2026-02-26 13:00:00,26.2,44,6.0,4,41.9,119.83,1.14,3.05,197.87,122.36
2026-02-26 14:00:00,23.6,44,8.0,4,45.87,129.59,1.95,2.97,228.1,109.55
2026-02-26 15:00:00,22.4,46,8.3,4,49.82,140.15,2.72,2.84,262.41,99.72
2026-02-26 16:00:00,22.1,47,8.6,4,52.38,148.53,3.08,2.63,285.01,91.42
2026-02-26 17:00:00,21.1,50,7.4,4,55.23,158.71,3.25,2.42,304.4,85.0
2026-02-26 18:00:00,20.7,52,7.0,4,57.7,167.98,3.26,2.15,315.53,79.22
2026-02-26 19:00:00,20.4,53,6.2,4,58.73,174.13,2.99,1.81,310.96,73.99
2026-02-26 20:00:00,20.0,55,4.0,4,60.14,180.65,2.63,1.54,304.65,70.46
2026-02-26 21:00:00,19.5,58,1.0,4,61.68,186.77,2.29,1.31,299.02,67.27
2026-02-26 22:00:00,18.5,61,0.8,4,63.24,191.29,2.06,1.09,294.42,63.66
2026-02-26 23:00:00,17.9,64,2.7,4,65.37,197.17,1.96,0.9,295.43,60.36
2026-02-27 00:00:00,17.5,72,3.4,5,67.79,203.69,1.98,0.75,300.34,57.15
2026-02-27 00:00:00,17.5,72,3.4,5,67.79,203.69,1.98,0.75,300.34,57.15
2026-02-27 01:00:00,16.5,76,4.2,5,69.54,207.67,2.1,0.65,307.41,53.32
2026-02-27 02:00:00,15.2,82,5.2,5,71.99,211.96,2.24,0.61,321.25,49.46
2026-02-27 03:00:00,18.4,71,7.2,5,74.42,216.64,2.34,0.61,334.05,45.82
2026-02-27 04:00:00,22.6,57,8.3,5,75.53,221.81,1.87,0.6,332.83,44.31
2026-02-27 05:00:00,26.0,46,6.8,5,76.42,229.94,1.4,0.66,327.93,48.39
2026-02-27 06:00:00,28.9,37,8.5,5,78.34,241.07,1.07,0.81,320.97,59.2
2026-02-27 07:00:00,30.2,33,8.4,4,43.57,138.09,0.44,3.76,186.31,122.83
2026-02-27 08:00:00,31.1,31,8.2,4,36.73,104.81,0.39,3.72,166.53,127.61
2026-02-27 09:00:00,31.2,29,8.8,3,35.3,98.83,0.4,3.52,160.39,127.53
2026-02-27 10:00:00,31.4,28,8.9,3,35.2,98.17,0.44,3.44,159.52,129.29
2026-02-27 11:00:00,30.9,29,7.1,3,34.68,96.79,0.49,3.3,157.42,129.83
2026-02-27 12:00:00,29.2,42,5.8,3,34.39,96.73,0.57,3.2,156.18,129.78
2026-02-27 13:00:00,27.7,38,3.3,4,35.91,102.58,0.98,3.17,165.76,125.56
2026-02-27 14:00:00,26.4,37,1.0,4,38.75,111.81,1.59,3.14,187.02,117.76
2026-02-27 15:00:00,23.5,45,6.5,4,41.58,119.55,2.18,3.06,212.61,110.91
2026-02-27 16:00:00,23.1,49,2.4,4,43.5,123.91,2.48,2.85,231.49,103.36
2026-02-27 17:00:00,22.6,51,1.0,4,45.9,129.95,2.64,2.66,249.94,97.3
2026-02-27 18:00:00,22.6,52,1.4,4,47.93,135.66,2.67,2.4,263.28,91.86
2026-02-27 19:00:00,22.0,54,1.6,4,48.46,137.1,2.48,2.09,264.48,86.99
2026-02-27 20:00:00,19.9,61,5.8,4,48.79,137.7,2.28,1.9,264.28,85.1
2026-02-27 21:00:00,18.9,66,4.5,4,49.28,140.14,2.11,1.8,264.78,84.31
2026-02-27 22:00:00,18.6,67,1.8,4,49.93,145.34,2.0,1.76,264.2,84.2
2026-02-27 23:00:00,18.0,69,2.5,4,51.82,151.21,1.97,1.44,269.27,80.1
2026-02-28 00:00:00,17.4,76,4.7,4,54.16,159.9,1.99,1.13,275.43,75.41
2026-02-28 00:00:00,17.4,76,4.7,4,54.16,159.9,1.99,1.13,275.43,75.41
2026-02-28 01:00:00,17.2,77,4.3,4,56.07,168.48,2.09,0.92,281.01,70.43
2026-02-28 02:00:00,16.6,80,6.0,4,58.56,176.82,2.22,0.78,292.07,66.17
2026-02-28 03:00:00,19.0,73,9.2,4,61.22,183.97,2.33,0.67,302.08,63.05
2026-02-28 04:00:00,21.9,67,7.4,4,63.12,189.04,1.95,0.61,303.68,61.99
